bar,drinker
"Iron Turkey","Jeremy Natale"
"Itchy Cheetah Bar","Jeremy Natale"
"Sudden Dragon Bar","Jeremy Orton"
"Sudden Octopus","Jeremy Orton"
"Pleasant Parrot Tavern","Jeremy Young"
Anchor,"Jerilyn Barriere"
"Absent Snow","Jerilyn Barriere"
"Middle Cushion Bar","Jermaine Robinson"
"Lying Explorer Tavern","Jermaine Robinson"
"Magnificent Dark Elf Bar","Jermaine Robinson"
"Chubby Badger Pub","Jermaine Ross"
"Cheap Vampire","Jermaine Ross"
"Courageous Melon","Jerold Perez"
"Courageous Lyre Bar","Jerold Perez"
"Crooked Sailor Ale House","Jerold Perez"
"Discreet Elderberry Pub","Jerome Davis"
"Different Kumquat Pub","Jerome Davis"
"Fascinated Demon Pub","Jerome Homa"
"Famous Tiger Pub","Jerome Homa"
Anchor,"Jerome Notis"
"Admiral Benbow Inn","Jerome Notis"
"Absent Snow","Jerome Notis"
"Scared Crossbow Tavern","Jerrold Talbott"
"Shattered Oak","Jerry Dauphin"
"Drab Parrots Pub","Jerry Davison"
"Dramatic Crabs","Jerry Davison"
"Sweet And Sour Castle Bar","Jerry Dikes"
"Sudden Dragon Bar","Jerry Dikes"
"Sudden Octopus","Jerry Dikes"
"Fearless Drum Bar","Jerry Dubard"
"Foamy Cave","Jerry Dubard"
"Diamond Turtle Inn","Jerry Hilton"
"Deep Glass Bar","Jerry Hilton"
"Brave Olive Pub","Jerry Kuhl"
"Blue City","Jerry Kuhl"
"Hungry Vanilla Bean Tavern","Jerry Larson"
"Cheap Vampire","Jerry Logan"
"Itchy Cheetah Bar","Jerry Mcmanemy"
"Iron Turkey","Jerry Mcmanemy"
"Ivory Lamb Pub","Jerry Mcmanemy"
"Hungry Turtle Pub","Jerry Murphy"
"Hypnotic Gate Tavern","Jerry Murphy"
"Triangular Pegasus Inn","Jerry Peterson"
"Spicy Cats Tavern","Jerry Ragland"
"Spinning Nomad Ale House","Jerry Ragland"
"Sour Axe Bar","Jerry Ragland"
"Dandy Cloud Bistro","Jerry Rameau"
"Deep Flute Bar","Jerry Rameau"
"Daily Barracuda Inn","Jerry Rameau"
"Smelly Crane Tavern","Jerry Richardson"
"Sore Head","Jerry Richardson"
"Snobbish Jackal Inn","Jerry Richardson"
"Admiral Benbow Inn","Jerry Santiago"
"Amused Lemon Parlor","Jerry Tallman"
"Ye Olde Lord Bar","Jerry Tallman"
"Iron Turkey","Jerry Tanzosch"
"Itchy Cheetah Bar","Jerry Tanzosch"
"Ivory Lamb Pub","Jerry Tanzosch"
"Smelly Crane Tavern","Jerry Taulbee"
"Sore Head","Jerry Taulbee"
"Snobbish Jackal Inn","Jerry Taulbee"
"Uneven Ants Tavern","Jerry Tobias"
"Twelve Spider Inn","Jerry Tobias"
"Wicked Stream","Jerry Walter"
"Venomous River Inn","Jerry Walter"
"Unusual Truffle","Jerry Walter"
"Natural Squash Tavern","Jerry William"
"Needy Mind Tavern","Jerry William"
"Responsible Chair","Jerry Wright"
"Rich Tauren Bar","Jerry Wright"
"Ruthless Chestnut","Jess Wong"
"Windy Harp","Jesse Baumann"
"Wretched Grape Inn","Jesse Baumann"
"Wild Hag Bar","Jesse Baumann"
"Harsh Flame Tavern","Jesse Curry"
"Original Horse Brewpub","Jesse Farness"
"Outrageous Sailboat Inn","Jesse Farness"
"Drab Parrots Pub","Jesse Karnes"
"Itchy Cheetah Bar","Jesse Lasky"
"Ivory Lamb Pub","Jesse Lasky"
"Teeny Gauntlet Bar","Jesse Lynch"
"Triangular Pegasus Inn","Jesse Lynch"
"Thundering Table Inn","Jesse Lynch"
"Courageous Lyre Bar","Jesse Mattson"
"Crooked Sailor Ale House","Jesse Mattson"
"Fascinated Chick Pub","Jesse Parker"
"Famous Tiger Pub","Jesse Parker"
"Itchy Cheetah Bar","Jesse Phillips"
"Ivory Lamb Pub","Jesse Phillips"
"Iron Turkey","Jesse Phillips"
Anchor,"Jesse Ross"
"Admiral Benbow Inn","Jesse Ross"
"Absent Snow","Jesse Ross"
"Sudden Dragon Bar","Jesse Rubin"
"Sweet And Sour Castle Bar","Jesse Rubin"
"Awful Salmon Bar","Jesse Sampson"
"Nervous Jaguar Inn","Jesse Sanders"
"Ruthless Chestnut","Jesse Smith"
"Unusual Truffle","Jesse Stotts"
"Gifted Zebra Tavern","Jesse Varner"
"Gifted Pillow Inn","Jesse Varner"
"Familiar Pony Tavern","Jesse Victoria"
"Empty Snapdragon Pub","Jesse Victoria"
"Hungry Turtle Pub","Jesse Weber"
"Magnificent Dark Elf Bar","Jesse Wilson"
"Latino Magpie","Jesse Woods"
"Laughing Elephant Tavern","Jesse Woods"
"Little Elixir Club","Jesse Woods"
"Laughing Elephant Tavern","Jessica Adams"
"Latino Magpie","Jessica Adams"
"Little Elixir Club","Jessica Adams"
"Uneven Ants Tavern","Jessica Anderson"
"Twelve Spider Inn","Jessica Anderson"
"Ugliest Pants Tavern","Jessica Anderson"
"Steel Yew","Jessica Andrews"
"Swift Angels Pub","Jessica Bratcher"
"Tacky Lyre Pub","Jessica Bratcher"
"Tasty Fairy Tavern","Jessica Bratcher"
"Famous Tiger Pub","Jessica Carlson"
"Fascinated Demon Pub","Jessica Carlson"
"Nifty Branch Inn","Jessica Chiquito"
"Nimble Stream Pub","Jessica Chiquito"
"Lively Elf","Jessica Cossey"
"Loud Elderberry Bar","Jessica Cossey"
"Lonely Snowdrop","Jessica Cossey"
"Impossible Fire","Jessica Dain"
"Incredible Sailboat Pub","Jessica Dain"
"Brave Olive Pub","Jessica Duffy"
"Busy Bachelor Bar","Jessica Duffy"
"Blue City","Jessica Duffy"
"Atomic Liquors","Jessica Fuller"
"Assorted Dandelion Bar","Jessica Fuller"
"Dizzy Lemon Lounge","Jessica Gomez"
"Different Kumquat Pub","Jessica Gomez"
"Discreet Elderberry Pub","Jessica Gomez"
"Sore Head","Jessica Harris"
"Snobbish Jackal Inn","Jessica Harris"
"Laughing Elephant Tavern","Jessica Hollendonner"
"Fluffy Husband","Jessica Jacobsen"
"Discreet Elderberry Pub","Jessica Jamison"
"Chinese Oak","Jessica Kiani"
"Chubby Badger Pub","Jessica Kiani"
"Cheap Vampire","Jessica Kiani"
"Scary Kiwi","Jessica Lesher"
"Scared Crossbow Tavern","Jessica Lesher"
"Amused Lemon Parlor","Jessica Lewis"
"Ye Olde Lord Bar","Jessica Lewis"
"Wrong Whip Bar","Jessica Lewis"
"Iron Tigress Inn","Jessica Martin"
"Interesting Trumpet Inn","Jessica Martin"
"Admiral Benbow Inn","Jessica Mcdowell"
Anchor,"Jessica Mcdowell"
"Nimble Stream Pub","Jessica Meadows"
"Russian Otter Pub","Jessica Peterson"
"Rusty Sailor Outpost","Jessica Peterson"
"Daily Barracuda Inn","Jessica Portugal"
"Deep Flute Bar","Jessica Portugal"
"Dandy Cloud Bistro","Jessica Portugal"
"Hissing Ocean Bar","Jessica Ragsdale"
"Hidden Table Brewpub","Jessica Ragsdale"
"Hidden Lady Parlor","Jessica Ragsdale"
"Spicy Cats Tavern","Jessica Rodrigues"
"Sour Axe Bar","Jessica Rodrigues"
"Fearless Drum Bar","Jessica Rule"
"Fluffy Husband","Jessica Rule"
"Oceanic Woodpecker Inn","Jessica Smith"
"Oceanic Knight Inn","Jessica Smith"
"Organic Buffalo Bar","Jessica Smith"
"Sour Axe Bar","Jessica Taylor"
"Venomous River Inn","Jessica Thompson"
"Different Kumquat Pub","Jessica Weldon"
"Dizzy Lemon Lounge","Jessica Weldon"
"Discreet Elderberry Pub","Jessica Weldon"
"Hidden Lady Parlor","Jessica Yadao"
"Famous Tiger Pub","Jessica Yetter"
"Fascinated Chick Pub","Jessica Yetter"
"Fascinated Demon Pub","Jessica Yetter"
"Sour Axe Bar","Jessie Elamin"
"Spinning Nomad Ale House","Jessie Elamin"
"Spicy Cats Tavern","Jessie Elamin"
"Hidden Lady Parlor","Jessie Ellis"
"Hissing Ocean Bar","Jessie Ellis"
"Hidden Table Brewpub","Jessie Ellis"
"Rainy Lime Tavern","Jessie Jones"
"Deep Flute Bar","Jessie Mcmanus"
"Daily Barracuda Inn","Jessie Mcmanus"
"Dandy Cloud Bistro","Jessie Mcmanus"
"Gifted Pillow Inn","Jessie Seider"
"Hidden Lady Parlor","Jessie Shah"
"Hidden Table Brewpub","Jessie Shah"
"Hissing Ocean Bar","Jessie Shah"
"Absent Snow","Jesus Alarcon"
"Nimble Stream Pub","Jesus Capellan"
"Iron Library Tavern","Jesus Edwards"
"Interesting Trumpet Inn","Jesus Edwards"
"Laughing Elephant Tavern","Jesus Sides"
"Latino Magpie","Jesus Sides"
"Little Elixir Club","Jesus Sides"
"Interesting Trumpet Inn","Jesus Smith"
"Iron Library Tavern","Jesus Smith"
"Iron Tigress Inn","Jesus Smith"
"Sweet And Sour Castle Bar","Jesus Wellington"
"Sudden Dragon Bar","Jesus Wellington"
"Quickest Doves","Jesus Whited"
"Sore Head","Jewel Guthrie"
"Snobbish Jackal Inn","Jewel Guthrie"
"Smelly Crane Tavern","Jewel Guthrie"
"Magnificent Dark Elf Bar","Jewell Redfox"
"Lying Explorer Tavern","Jewell Redfox"
"Assorted Dandelion Bar","Jewell Watkins"
"Cheap Vampire","Jill Blair"
"Chinese Oak","Jill Blair"
"Swift Angels Pub","Jill Burroughs"
"Tacky Lyre Pub","Jill Burroughs"
"Tasty Fairy Tavern","Jill Burroughs"
"Oceanic Woodpecker Inn","Jill Coleman"
"Oceanic Knight Inn","Jill Coleman"
"Oceanic Knight Inn","Jill Enz"
"Famous Tiger Pub","Jill Gallman"
"Unusual Truffle","Jill Garhart"
"Wicked Stream","Jill Garhart"
"Venomous River Inn","Jill Garhart"
"Hungry Turtle Pub","Jill Golson"
"Hungry Vanilla Bean Tavern","Jill Golson"
"Keen Snail Bar","Jill Hernandez"
"Jaded Pants Pub","Jill Hernandez"
"Magnificent Dark Elf Bar","Jill Miller"
"Middle Cushion Bar","Jill Miller"
"Spirited Brew Saloon","Jill Nichols"
"Steel Yew","Jill Nichols"
"Steel Elf","Jill Nichols"
"Laughing Elephant Tavern","Jill Rogers"
"Natural Leopard","Jill Worthington"
"Mixing Demon Pub","Jill Worthington"
"Molten Ants Bar","Jill Worthington"
"Windy Harp","Jillian Hunt"
"Awful Salmon Bar","Jillian Plummer"
"Psychotic Seadog","Jim Blomquist"
"Proud Spiders","Jim Blomquist"
"Wild Hag Bar","Jim Collier"
"Wretched Grape Inn","Jim Collier"
"Windy Harp","Jim Collier"
"Keen Snail Bar","Jim Jones"
"Skinny Guitar","Jimmie Beggs"
"Fascinated Chick Pub","Jimmie Hefner"
"Dandy Cloud Bistro","Jimmie Lebovic"
"Daily Barracuda Inn","Jimmie Lebovic"
"Naughty Bean Inn","Jimmie Loree"
"Needy Mind Tavern","Jimmie Loree"
"Chinese Oak","Jimmie Owens"
"Venomous River Inn","Jimmy Barrow"
"Wicked Stream","Jimmy Barrow"
"Unusual Truffle","Jimmy Barrow"
"Lying Explorer Tavern","Jimmy Castaneda"
"Magnificent Dark Elf Bar","Jimmy Castaneda"
"Middle Cushion Bar","Jimmy Castaneda"
"Fearless Drum Bar","Jimmy Clark"
"Fluffy Husband","Jimmy Clark"
"Mixing Demon Pub","Jimmy Dean"
"Deep Flute Bar","Jimmy Huland"
"Daily Barracuda Inn","Jimmy Huland"
"Dandy Cloud Bistro","Jimmy Huland"
"Chubby Badger Pub","Jimmy Lowery"
"Chinese Oak","Jimmy Lowery"
"Cheap Vampire","Jimmy Lowery"
"Chinese Oak","Jimmy Payne"
"Cheap Vampire","Jimmy Payne"
"Chubby Badger Pub","Jimmy Payne"
"Spinning Nomad Ale House","Jimmy Summers"
"Spicy Cats Tavern","Jimmy Summers"
"Sour Axe Bar","Jimmy Summers"
"Sore Head","Jimmy Terry"
"Fluffy Husband","Jimmy White"
"Dandy Cloud Bistro","Jin Besaw"
"Hungry Skunks Bar","Jo Baggett"
"Hot Cup Inn","Jo Baggett"
"Lonely Snowdrop","Jo Catalan"
"Loud Elderberry Bar","Jo Catalan"
"Absent Snow","Jo Champney"
"Discreet Elderberry Pub","Jo Johnson"
"Different Kumquat Pub","Jo Johnson"
"Itchy Cheetah Bar","Jo Torres"
"Ivory Lamb Pub","Jo Torres"
"Iron Turkey","Jo Torres"
"Blue City","Jo Vernon"
"Best Stick Tavern","Joan Bahena"
"Bloody Lady","Joan Bahena"
"Awful Salmon Bar","Joan Bahena"
"Full Guitar","Joan Bean"
"Hoppy Apple Brewhouse","Joan Boyd"
"Foamy Cave","Joan Brewer"
Anchor,"Joan Brinkmann"
"Admiral Benbow Inn","Joan Brinkmann"
"Fascinated Demon Pub","Joan Burke"
"Swift Angels Pub","Joan Cazier"
"Tasty Fairy Tavern","Joan Cazier"
"Itchy Cheetah Bar","Joan Francis"
"Ivory Lamb Pub","Joan Francis"
"Russian Otter Pub","Joan King"
"Rusty Sailor Outpost","Joan King"
"Hidden Lady Parlor","Joan Leath"
"Amused Lemon Parlor","Joan Lucas"
"Wrong Whip Bar","Joan Lucas"
"Ye Olde Lord Bar","Joan Lucas"
"Original Horse Brewpub","Joan Lynch"
"Fearless Drum Bar","Joan Madsen"
"Fluffy Husband","Joan Madsen"
"Parallel Pegasus Bar","Joan Martinez"
"Peaceful Bison","Joan Martinez"
"Overrated Pigeons Pub","Joan Martinez"
"Jaded Pants Pub","Joan Norton"
"Hungry Skunks Bar","Joan Potter"
"Hot Cup Inn","Joan Potter"
"Hoppy Apple Brewhouse","Joan Potter"
"Chubby Badger Pub","Joan Rosko"
"Jaded Pants Pub","Joann Jacoby"
"Jealous Fiddle Pub","Joann Jacoby"
"Twelve Spider Inn","Joann Jacome"
"Ugliest Pants Tavern","Joann Jacome"
"Ye Olde Lord Bar","Joann Jones"
"Wrong Whip Bar","Joann Jones"
"Overrated Pigeons Pub","Joann Keefe"
"Peaceful Bison","Joann Keefe"
"New Spider Bar","Joann Lopez"
"Nervous Mountain Inn","Joann Lopez"
"Nervous Jaguar Inn","Joann Lopez"
"Courageous Melon","Joann Marino"
"Hidden Table Brewpub","Joann Scott"
"Hidden Lady Parlor","Joann Scott"
"Hissing Ocean Bar","Joann Scott"
"Psychotic Seadog","Joann Webb"
"Purple Pint Bar and Grille","Joann Webb"
"Proud Spiders","Joann Webb"
"Steel Elf","Joanna Burgoyne"
"Spirited Brew Saloon","Joanna Burgoyne"
"Steel Yew","Joanna Burgoyne"
"Fluffy Husband","Joanna Dombrowski"
"Spinning Nomad Ale House","Joanna Louie"
"Molten Ants Bar","Joanne Albert"
"Natural Leopard","Joanne Albert"
"Mixing Demon Pub","Joanne Albert"
"Spinning Nomad Ale House","Joanne Austin"
"Hypnotic Gate Tavern","Joanne Boston"
"Hungry Turtle Pub","Joanne Boston"
"Rainy Lime Tavern","Joanne Cruz"
"Real Shark Inn","Joanne Cruz"
"Quickest Doves","Joanne Cruz"
"Sudden Octopus","Joanne Curry"
"Sudden Dragon Bar","Joanne Curry"
"Sweet And Sour Castle Bar","Joanne Curry"
"Deep Lantern","Joanne Hinson"
"Ye Olde Lord Bar","Joanne Lepley"
"Wrong Whip Bar","Joanne Lepley"
"Hot Cup Inn","Joanne Lofaro"
"Cheap Vampire","Joanne Smith"
"Chinese Oak","Joanne Smith"
"Skinny Guitar","Joanne Stevenson"
"Icky Elephants Tavern","Joanne Viars"
"Impossible Fire","Joanne Viars"
"Daily Barracuda Inn","Joanne Yacko"
"Dandy Cloud Bistro","Joanne Yacko"
"Responsible Chair","Jodi Black"
"Regular Drum Tavern","Jodi Black"
"Regular Drum Tavern","Jodi Nabb"
"Rich Tauren Bar","Jodi Nabb"
"Hungry Turtle Pub","Jodi Strong"
"Hungry Vanilla Bean Tavern","Jodi Strong"
"Unusual Truffle","Jody Carlson"
"Hidden Table Brewpub","Jody Lindsey"
"Hidden Lady Parlor","Jody Lindsey"
"Dramatic Crabs","Jody Lussier"
"Drab Parrots Pub","Jody Lussier"
"Double Swan Tavern","Jody Lussier"
"Hidden Lady Parlor","Jody Williams"
"Gifted Pillow Inn","Joe Barron"
"Psychotic Seadog","Joe Cortez"
"Purple Pint Bar and Grille","Joe Cortez"
"Jealous Fiddle Pub","Joe Davis"
"Keen Snail Bar","Joe Davis"
"Deep Glass Bar","Joe Ferrusi"
"Diamond Turtle Inn","Joe Ferrusi"
"Sore Head","Joe Garner"
"Needy Mind Tavern","Joe Livingston"
"Hungry Skunks Bar","Joe Marotta"
"Swift Angels Pub","Joe Moody"
"Tasty Fairy Tavern","Joe Moody"
"Tacky Lyre Pub","Joe Moody"
"Laughing Elephant Tavern","Joe Ramsey"
"Iron Library Tavern","Joe Reyna"
"Iron Tigress Inn","Joe Reyna"
"Interesting Trumpet Inn","Joe Reyna"
"Middle Cushion Bar","Joe Shapiro"
"Nervous Mountain Inn","Joe Sutton"
"New Spider Bar","Joe Sutton"
"Triangular Pegasus Inn","Joe Yeager"
"Thundering Table Inn","Joe Yeager"
"Shattered Oak","Joe Yetter"
"Skinny Guitar","Joe Yetter"
"Chubby Badger Pub","Joel Gilbert"
"Cheap Vampire","Joel Gilbert"
"Skinny Guitar","Joel Gordon"
"Laughing Elephant Tavern","Joel Judd"
"Little Elixir Club","Joel Judd"
"Latino Magpie","Joel Judd"
"Brave Olive Pub","Joel Lee"
"Busy Bachelor Bar","Joel Swenson"
"Iron Tigress Inn","Joelle Porter"
"Tasty Fairy Tavern","Johanna Burney"
"Overrated Pigeons Pub","Johanna Smith"
"Peaceful Bison","Johanna Smith"
"Parallel Pegasus Bar","Johanna Smith"
"Dizzy Lemon Lounge","John Abbott"
"Natural Leopard","John Adams"
"Mixing Demon Pub","John Adams"
"Molten Ants Bar","John Adams"
"Sore Head","John Alvarado"
"Psychotic Seadog","John Anderson"
"Laughing Elephant Tavern","John Aronow"
"Latino Magpie","John Aronow"
"Little Elixir Club","John Aronow"
"Laughing Elephant Tavern","John Barnes"
"New Spider Bar","John Bateman"
"Sudden Octopus","John Black"
"Sweet And Sour Castle Bar","John Black"
"Sudden Dragon Bar","John Black"
"Fluffy Husband","John Blais"
"Russian Otter Pub","John Braman"
"Ruthless Chestnut","John Braman"
"Lonely Snowdrop","John Breen"
"Lively Elf","John Breen"
"Atomic Liquors","John Brown"
"Armed Pudding Bar","John Brown"
"Double Swan Tavern","John Bustos"
"Drab Parrots Pub","John Bustos"
"Dizzy Lemon Lounge","John Butler"
"Safe Palm Inn","John Byrd"
"Scared Crossbow Tavern","John Byrd"
"Rich Tauren Bar","John Cain"
"Regular Drum Tavern","John Cain"
"Sore Head","John Carpenter"
"Snobbish Jackal Inn","John Carpenter"
"Natural Squash Tavern","John Carr"
"Overrated Pigeons Pub","John Carriger"
"Peaceful Bison","John Carriger"
"Fascinated Demon Pub","John Carroll"
"Fascinated Chick Pub","John Carroll"
"Famous Tiger Pub","John Carroll"
"Incredible Sailboat Pub","John Cassity"
"Icky Elephants Tavern","John Cassity"
"Different Kumquat Pub","John Castellanos"
"Discreet Elderberry Pub","John Castellanos"
"Dizzy Lemon Lounge","John Castellanos"
"Windy Harp","John Cataline"
"Wretched Grape Inn","John Cataline"
"Wild Hag Bar","John Cataline"
"Awful Salmon Bar","John Chairez"
"Bloody Lady","John Chairez"
"Best Stick Tavern","John Chairez"
"Assorted Dandelion Bar","John Chaney"
"Armed Pudding Bar","John Chaney"
"Spirited Brew Saloon","John Christensen"
"Steel Elf","John Christensen"
"Perfect Rabbit Tavern","John Cole"
"Poor Bats Inn","John Cole"
"Hissing Ocean Bar","John Cottrell"
"Hidden Table Brewpub","John Cottrell"
"Iron Tigress Inn","John Cummings"
"Discreet Elderberry Pub","John Dan"
"Different Kumquat Pub","John Dan"
"Dizzy Lemon Lounge","John Dan"
"Dizzy Lemon Lounge","John Daniels"
"Nimble Squash","John Davis"
"Original Acorn Roadhouse","John Decker"
"Outrageous Sailboat Inn","John Decker"
"Original Horse Brewpub","John Decker"
"Gypsy Root Roadhouse","John Deford"
"Harsh Flame Tavern","John Deford"
"Organic Buffalo Bar","John Delacruz"
"Oceanic Knight Inn","John Delacruz"
"Oceanic Woodpecker Inn","John Delacruz"
"Rainy Lime Tavern","John Delia"
"Real Shark Inn","John Delia"
"Quickest Doves","John Delia"
"Gifted Zebra Tavern","John Dillon"
"Full Guitar","John Dillon"
"Double Swan Tavern","John Diver"
"Dramatic Crabs","John Diver"
"Proud Spiders","John Dixon"
"Psychotic Seadog","John Dixon"
"Purple Pint Bar and Grille","John Dixon"
"Fearless Drum Bar","John Donaldson"
"Ivory Lamb Pub","John Drewry"
"Itchy Cheetah Bar","John Drewry"
"Hidden Lady Parlor","John Dunn"
"Hissing Ocean Bar","John Dunn"
"Hidden Table Brewpub","John Dunn"
"Pleasant Parrot Tavern","John Eastburn"
"Perfect Rabbit Tavern","John Eastburn"
"Pleasant Parrot Tavern","John Edgar"
"Poor Bats Inn","John Edgar"
"Perfect Rabbit Tavern","John Edgar"
"Jealous Fiddle Pub","John Ewing"
"Hidden Lady Parlor","John Falco"
"Discreet Elderberry Pub","John Fasano"
"Dizzy Lemon Lounge","John Fasano"
"Fluffy Husband","John Fields"
"Foamy Cave","John Fields"
"Windy Harp","John Fite"
"Middle Cushion Bar","John Follett"
"Discreet Elderberry Pub","John Fortin"
"Different Kumquat Pub","John Fortin"
"Best Stick Tavern","John Foster"
"Jealous Fiddle Pub","John Francour"
"Keen Snail Bar","John Francour"
"Jaded Pants Pub","John Francour"
"Courageous Lyre Bar","John Garza"
"Fluffy Husband","John Gates"
"Foamy Cave","John Gates"
"Fearless Drum Bar","John Gates"
"Spinning Nomad Ale House","John Gettle"
"Rich Tauren Bar","John Glesener"
"Regular Drum Tavern","John Glesener"
"Mixing Demon Pub","John Gourd"
"Gifted Zebra Tavern","John Graddy"
"Full Guitar","John Graddy"
"Teeny Gauntlet Bar","John Granderson"
"Triangular Pegasus Inn","John Granderson"
"Thundering Table Inn","John Granderson"
"Jealous Fiddle Pub","John Gross"
"Real Shark Inn","John Hardy"
"Magnificent Dark Elf Bar","John Hartley"
"Lying Explorer Tavern","John Hartley"
"Middle Cushion Bar","John Hartley"
"Incredible Sailboat Pub","John Hatfield"
"Regular Drum Tavern","John Hawkins"
"Responsible Chair","John Hawkins"
"Rich Tauren Bar","John Hawkins"
"Parallel Pegasus Bar","John Hayes"
"Peaceful Bison","John Hayes"
"Rainy Lime Tavern","John Heinsohn"
"Itchy Cheetah Bar","John Helt"
"Daily Barracuda Inn","John Henderson"
"Dandy Cloud Bistro","John Henderson"
"Deep Flute Bar","John Henderson"
"Quickest Doves","John Hernandez"
"Earthy Bird Pub","John Hinkle"
"Familiar Pony Tavern","John Hinkle"
"Cheap Vampire","John Hodge"
"Chubby Badger Pub","John Hodge"
"Chinese Oak","John Hodge"
"Gifted Zebra Tavern","John Holcomb"
"Dramatic Crabs","John Horton"
"Double Swan Tavern","John Horton"
"Drab Parrots Pub","John Horton"
"Foamy Cave","John Howe"
"Fearless Drum Bar","John Howe"
"Fluffy Husband","John Howe"
"Magnificent Dark Elf Bar","John Huffman"
"Lying Explorer Tavern","John Huffman"
"Clean Bed Inn","John Ibrahim"
"Sweet And Sour Castle Bar","John Jackson"
"Hypnotic Gate Tavern","John Jensen"
"Hungry Turtle Pub","John Jensen"
"Chubby Badger Pub","John Keeney"
"Oceanic Knight Inn","John Kim"
"Organic Buffalo Bar","John Kim"
"Oceanic Woodpecker Inn","John Kim"
"Nervous Jaguar Inn","John King"
"Outrageous Sailboat Inn","John Kizer"
"Original Acorn Roadhouse","John Kizer"
"Oceanic Knight Inn","John Langdale"
"Organic Buffalo Bar","John Langdale"
"Dizzy Lemon Lounge","John Lanius"
"Discreet Elderberry Pub","John Lanius"
"Fascinated Demon Pub","John Latouf"
"Shattered Oak","John Layman"
"Outrageous Sailboat Inn","John Ledon"
"Original Horse Brewpub","John Ledon"
"New Spider Bar","John Leyva"
"Clever Child","John Lindsey"
"Chunky Hawks Tavern","John Lindsey"
"Overrated Pigeons Pub","John Lomago"
"Peaceful Bison","John Lomago"
"Familiar Pony Tavern","John Macarthur"
"Earthy Bird Pub","John Macarthur"
"Steel Elf","John Macquarrie"
"Spirited Brew Saloon","John Macquarrie"
"Drab Parrots Pub","John Magee"
"Magnificent Dark Elf Bar","John Manzanares"
"Middle Cushion Bar","John Manzanares"
"Lying Explorer Tavern","John Manzanares"
"Scary Kiwi","John March"
"Scared Crossbow Tavern","John March"
"Safe Palm Inn","John March"
"Courageous Lyre Bar","John Martin"
"Famous Tiger Pub","John Massie"
"Fascinated Chick Pub","John Massie"
"Fascinated Demon Pub","John Massie"
"Deep Lantern","John Maya"
"Diamond Turtle Inn","John Maya"
"New Spider Bar","John Mccoy"
"Full Guitar","John Mccrossen"
"Gifted Pillow Inn","John Mccrossen"
"Hot Cup Inn","John Mcdaniel"
"Hoppy Apple Brewhouse","John Mcdaniel"
"Gray City","John Mcdowell"
"Loud Elderberry Bar","John Mcgowan"
"Lively Elf","John Mcgowan"
"Lonely Snowdrop","John Mcgowan"
"Atomic Liquors","John Mckinney"
"Assorted Dandelion Bar","John Mckinney"
"Clever Child","John Meredith"
"Clean Bed Inn","John Meredith"
"Chunky Hawks Tavern","John Meredith"
"Familiar Pony Tavern","John Miller"
"Empty Snapdragon Pub","John Miller"
"Earthy Bird Pub","John Miller"
"Crooked Sailor Ale House","John Millican"
"Courageous Lyre Bar","John Millican"
"Courageous Melon","John Millican"
"Quickest Doves","John Mintz"
"Real Shark Inn","John Mintz"
"Gifted Zebra Tavern","John Montague"
"Gifted Pillow Inn","John Montague"
"Full Guitar","John Montague"
"Lying Explorer Tavern","John Moore"
"Middle Cushion Bar","John Moore"
"Sudden Octopus","John Morgan"
"Sudden Dragon Bar","John Morgan"
"Sweet And Sour Castle Bar","John Morgan"
"Regular Drum Tavern","John Navarra"
"Poor Bats Inn","John Navarro"
"Pleasant Parrot Tavern","John Navarro"
"Perfect Rabbit Tavern","John Navarro"
"Scary Kiwi","John Nilsson"
"Safe Palm Inn","John Nilsson"
"Diamond Turtle Inn","John Nordberg"
"Nimble Squash","John Nordstrom"
"Nimble Stream Pub","John Nordstrom"
"Itchy Cheetah Bar","John Oppegard"
"Chubby Badger Pub","John Padilla"
"Cheap Vampire","John Padilla"
"Chinese Oak","John Padilla"
"Fascinated Chick Pub","John Parish"
"Fascinated Demon Pub","John Parish"
"Unusual Truffle","John Parra"
"Wicked Stream","John Parra"
"Venomous River Inn","John Parra"
"Chunky Hawks Tavern","John Petersen"
"Clean Bed Inn","John Petersen"
"Wrong Whip Bar","John Peterson"
"Assorted Dandelion Bar","John Phillips"
"Atomic Liquors","John Phillips"
"Shattered Oak","John Porras"
"Ye Olde Lord Bar","John Powell"
"Amused Lemon Parlor","John Powell"
"Wrong Whip Bar","John Powell"
"Ivory Lamb Pub","John Ramberg"
"Iron Turkey","John Ramberg"
"Itchy Cheetah Bar","John Ramberg"
"Natural Leopard","John Ramirez"
"Proud Spiders","John Rawson"
"Purple Pint Bar and Grille","John Rawson"
"Spicy Cats Tavern","John Rector"
"Sour Axe Bar","John Rector"
"Lonely Snowdrop","John Reeder"
"Iron Turkey","John Richmond"
"Chinese Oak","John Richter"
"Chubby Badger Pub","John Richter"
"Cheap Vampire","John Richter"
"Earthy Bird Pub","John Rickman"
"Empty Snapdragon Pub","John Rickman"
"Iron Library Tavern","John Rios"
"Iron Tigress Inn","John Rios"
"Interesting Trumpet Inn","John Rios"
"Molten Ants Bar","John Rivera"
"Natural Leopard","John Rivera"
"Mixing Demon Pub","John Rivera"
"Hidden Lady Parlor","John Roberts"
"Hidden Table Brewpub","John Roberts"
"Hissing Ocean Bar","John Roberts"
"Spicy Cats Tavern","John Rodgers"
"Spinning Nomad Ale House","John Rodgers"
